name,lat,lon
서울,37.55511396427784,127.04405819123612
춘천,37.87178359614712,127.74255752469959
군산,35.94506934412025,126.68155079304675
광주,35.17751300039763,126.9103035848543
대구,35.88980868252122,128.60776580566997
부산,35.13540106203798,129.10882070253538
제주,33.4571748207234,126.56436110938091
강릉,37.77071196271112,128.86870175954022 
안동,36.544132546308425,128.79708048934975 
수원,37.24621323131263,127.0808322653224 
청주,36.651132629451304,127.49716214857234 
울산,35.57145110248402,129.18735014597252
인천,37.375628383630364,126.6346844452825 
진주,35.15514819018288,128.09566322940088